id,course_id,course_name,source_id,label,entity_type,parent_id,depth,path,layout,image_ids
C12:FI:3977,C12,数据库,3977,词法分析,floating_item,C12:F:3702,1,编译原理 > 词法分析,"{""x"":1798.94,""y"":6275.27,""width"":75.6,""height"":20.7}",[]
C12:FI:3982,C12,数据库,3982,锁,floating_item,C12:F:3980,1,分布式数据库 > 锁,"{""x"":2957.41,""y"":8574.22,""width"":32.4,""height"":20.7}",[]
C12:FI:3985,C12,数据库,3985,分布式事务,floating_item,C12:F:3984,1,分布式数据库 > 分布式事务,"{""x"":1514.9,""y"":7131.94,""width"":90.0,""height"":20.7}",[]
C12:FI:3989,C12,数据库,3989,分布式并发控制,floating_item,C12:F:3995,1,分布式数据库 > 分布式并发控制,"{""x"":921.071,""y"":8491.94,""width"":118.8,""height"":20.7}",[]
C12:FI:3991,C12,数据库,3991,时标机制,floating_item,C12:FI:3989,2,分布式数据库 > 分布式并发控制 > 时标机制,"{""x"":780.671,""y"":8478.34,""width"":75.6,""height"":20.7}",[]
C12:FI:3993,C12,数据库,3993,加锁机制,floating_item,C12:FI:3989,2,分布式数据库 > 分布式并发控制 > 加锁机制,"{""x"":780.671,""y"":8505.54,""width"":75.6,""height"":20.7}",[]
C12:FI:4001,C12,数据库,4001,分布式查询处理,floating_item,C12:F:4000,1,分布式数据库 > 分布式查询处理,"{""x"":1760.54,""y"":6453.08,""width"":118.8,""height"":20.7}",[]
C15:F:1948,C15,数据挖掘,1948,线性代数（矩阵）,floating_root,,0,线性代数（矩阵）,"{""x"":2319.33,""y"":1510.0,""width"":168.0,""height"":37.6667}",[]
C16:F:5678,C16,人工智能,5678,离散数学,floating_root,,0,离散数学,"{""x"":2712.76,""y"":5818.1,""width"":103.0,""height"":37.6667}",[]
C16:F:5684,C16,人工智能,5684,概率论,floating_root,,0,概率论,"{""x"":2752.67,""y"":13317.3,""width"":87.0,""height"":37.6667}",[]
C16:F:5697,C16,人工智能,5697,离散数学：演绎推理,floating_root,,0,离散数学：演绎推理,"{""x"":2702.29,""y"":9715.24,""width"":159.0,""height"":35.0}",[]
C16:F:5705,C16,人工智能,5705,数据结构：图,floating_root,,0,数据结构：图,"{""x"":2943.69,""y"":18146.3,""width"":119.0,""height"":35.0}",[]
